Channel;Region;Selected Month;Call Timestamp;Id;Month;Response Time;% Met or Above SLA;Met SLA;Number of Calls;SLA Difference to Target;SLA Target Tick +ve
Web;West;True;17/11/2020;25899;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;10/11/2020;14008;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;10/11/2020;14008;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;27/11/2020;25318;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;21/11/2020;24262;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;21/11/2020;24262;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;3/11/2020;3979;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;15/11/2020;22445;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;5/11/2020;32157;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;5/11/2020;32157;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;15/11/2020;33246;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;12/11/2020;8880;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;12/11/2020;8880;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;8/11/2020;1287;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;24/11/2020;5841;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;24/11/2020;5841;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;14/11/2020;18330;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;24/11/2020;16694;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;4/11/2020;14669;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;4/11/2020;14669;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;4/11/2020;22821;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;6/11/2020;6507;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;25/11/2020;20476;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;20/11/2020;14089;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;4/11/2020;3910;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;8/11/2020;3941;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;28/11/2020;13425;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;28/11/2020;13425;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;11/11/2020;25426;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;8/11/2020;17991;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;8/11/2020;17991;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;10/11/2020;32212;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;19/11/2020;21931;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;19/11/2020;21931;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;5/11/2020;9763;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;14/11/2020;6811;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;11/11/2020;14223;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;11/11/2020;14223;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;15/11/2020;4864;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;13/11/2020;29262;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;13/11/2020;29262;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;6/11/2020;1165;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;6/11/2020;1165;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;3/11/2020;428;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;17/11/2020;6444;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;17/11/2020;6444;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;25953;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;25953;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;29/11/2020;33250;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;19/11/2020;13935;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;19/11/2020;13935;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;3/11/2020;18022;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;10/11/2020;8782;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;10/11/2020;1712;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;22/11/2020;23989;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;7/11/2020;12701;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;7/11/2020;12701;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;15/11/2020;31648;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;3/11/2020;22328;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;3/11/2020;22328;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;27/11/2020;33005;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;27/11/2020;33005;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;4/11/2020;21475;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;6/11/2020;17717;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;15/11/2020;28643;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;3/11/2020;1432;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;26/11/2020;4335;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;26/11/2020;4335;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;26/11/2020;31626;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;20/11/2020;3953;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;4/11/2020;8269;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;5/11/2020;14990;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;5/11/2020;14990;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;11/11/2020;21913;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;11/11/2020;21913;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;10/11/2020;27334;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;10/11/2020;27334;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;10/11/2020;17797;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;10/11/2020;17797;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;25323;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;25323;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;12246;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;12246;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;25/11/2020;2723;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;27/11/2020;8181;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;27/11/2020;8181;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;27/11/2020;12916;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;27/11/2020;12916;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;27/11/2020;26159;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;27/11/2020;26159;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;1/11/2020;25343;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;10/11/2020;19527;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;20/11/2020;5063;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;11/11/2020;30047;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;13/11/2020;11475;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;6/11/2020;28074;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;11/11/2020;21459;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;11/11/2020;21459;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;5/11/2020;14209;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;5/11/2020;14569;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;6/11/2020;33076;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;6/11/2020;33076;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;13143;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;15/11/2020;13143;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;12/11/2020;8328;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;19/11/2020;4145;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;19/11/2020;4145;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;25/11/2020;16727;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;6/11/2020;33102;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;15/11/2020;26417;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;8/11/2020;30092;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;28/11/2020;11148;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;28/11/2020;11148;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;29/11/2020;6772;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;29/11/2020;6772;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;1/11/2020;23595;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;25/11/2020;15193;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;25/11/2020;15193;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;28/11/2020;10515;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;18/11/2020;16645;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;12/11/2020;19958;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;10/11/2020;17855;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;10/11/2020;6411;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;12/11/2020;16394;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;21/11/2020;27537;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;18/11/2020;25904;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;18/11/2020;26776;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;18/11/2020;26776;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;29/11/2020;6346;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;29/11/2020;6346;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;19/11/2020;13389;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;7/11/2020;17660;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;18/11/2020;19748;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;18/11/2020;19748;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;17/11/2020;110;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;15/11/2020;8683;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;17/11/2020;6682;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;24/11/2020;5243;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;10/11/2020;32108;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;10/11/2020;32108;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;West;True;8/11/2020;25823;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;17/11/2020;18209;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;17/11/2020;18209;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;21/11/2020;24971;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;21/11/2020;24971;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;13/11/2020;21526;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;13/11/2020;21526;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;4/11/2020;22784;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;4/11/2020;22784;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;19/11/2020;11134;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;26/11/2020;8076;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;26/11/2020;8076;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;5/11/2020;2828;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;Central;True;5/11/2020;2828;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;12/11/2020;28560;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;South;True;12/11/2020;28560;1/11/2020;Above SLA;100%;1;1;28%;✓
Web;East;True;1/11/2020;21198;1/11/2020;Above SLA;100%;1;1;28%;✓
